City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Oda,JP,78.08,overcast clouds,35.1833,132.5,Sky Hotel Oda
273,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
274,Northam,GB,73.38,broken clouds,51.0333,-4.2167,Durrant House Hotel
275,Labuhan,ID,77.92,overcast clouds,-6.8844,112.2051,DoubleFAG
277,Bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
279,Mabay,PH,77.94,overcast clouds,6.0577,124.4666,Bautista Lodging House
280,Manzanillo,CU,93.15,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
281,San Francisco,US,84.02,scattered clouds,37.7749,-122.4194,Edwardian Hotel
282,Palasa,IN,81.46,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
284,Achutupo,PA,86.58,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
286,Along,IN,74.86,overcast clouds,28.1667,94.7667,Hotel West
287,Dumas,US,89.74,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
289,Medicine Hat,CA,73.22,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
291,Armacao De Pera,PT,81.09,clear sky,37.1026,-8.357,VILA VITA Parc Resort & Spa
293,Jaque,PA,80.94,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
294,Laguna,US,90.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
295,Ormara,PK,82.38,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
296,Garissa,KE,80.92,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
297,Kihei,US,76.84,scattered clouds,20.785,-156.4656,Maui Sunset
298,Novokayakent,RU,81.19,overcast clouds,42.3937,47.9861,"Baza Otdykha ""Svyazist"""
301,Wichian Buri,TH,78.22,overcast clouds,15.6578,101.106,Mit Sali Hotel
302,Chifeng,CN,76.59,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
304,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
305,Palmerston,AU,71.58,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
306,Vavoua,CI,78.08,overcast clouds,7.3819,-6.4778,Hotel Le Peuple
307,Manggar,ID,80.74,overcast clouds,-2.8833,108.2667,Guest Hotel
308,Port Blair,IN,78.78,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
311,Galle,LK,77.95,overcast clouds,6.0367,80.217,Amangalla
312,Ogaminana,NG,77.92,overcast clouds,7.5946,6.2248,Billy Guest Inn
313,Ozu,JP,80.19,overcast clouds,33.5,132.55,HOTEL FOREST
314,Havelock,US,92.95,broken clouds,34.8791,-76.9013,Sherwood Motel
315,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
318,Iralaya,HN,82.51,overcast clouds,15.0,-83.2333,Iglesia morava renovada
319,Zhangjiakou,CN,76.48,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
320,Cercany,CZ,80.82,broken clouds,49.8529,14.703,Sázavka
322,Cabo San Lucas,MX,91.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
323,Saint-Georges,GD,83.39,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
327,Yarada,IN,84.52,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
328,Muroto,JP,80.8,overcast clouds,33.2833,134.15,Oota Ryokan
331,Soria,ES,93.11,few clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
