,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Iralaya,HN,15.0,-83.2333,82.51,85,100,17.67,overcast clouds
319,Zhangjiakou,CN,40.81,114.8794,76.48,72,88,5.82,overcast clouds
320,Cercany,CZ,49.8529,14.703,80.82,56,70,1.97,broken clouds
321,Lebu,CL,-37.6167,-73.65,51.6,62,1,13.04,clear sky
322,Cabo San Lucas,MX,22.8909,-109.9124,91.62,61,40,4.61,scattered clouds
323,Saint-Georges,GD,12.0564,-61.7485,83.39,71,45,15.01,scattered clouds
324,Talnakh,RU,69.4865,88.3972,46.13,75,2,8.16,clear sky
325,Karasuk,RU,53.7377,78.0403,60.84,67,88,11.74,overcast clouds
326,Clarence Town,AU,-32.5833,151.7833,52.56,85,100,3.11,overcast clouds
327,Yarada,IN,17.65,83.2667,84.52,84,40,2.3,thunderstorm
328,Muroto,JP,33.2833,134.15,80.8,89,98,11.86,overcast clouds
329,Soloneshnoye,RU,51.6544,84.3197,60.35,90,79,3.04,broken clouds
330,Atar,MR,20.5169,-13.0499,99.32,27,4,13.06,clear sky
331,Soria,ES,41.6667,-2.6667,93.11,24,24,3.83,few clouds
332,Sinjar,IQ,36.3209,41.8754,101.62,12,0,10.54,clear sky
333,Sikasso,ML,10.9167,-7.0,81.46,71,82,3.85,broken clouds
334,Panjab,AF,34.388,67.0233,55.38,58,55,6.29,broken clouds
335,Bluefield,US,37.2698,-81.2223,82.4,70,75,10.36,broken clouds
336,Veinticinco De Mayo,AR,-35.4323,-60.1727,61.99,71,97,7.0,overcast clouds
337,Asau,RO,46.4333,26.4,76.28,63,42,3.42,scattered clouds
338,Tanete,ID,-3.9443,119.7848,73.08,96,96,3.85,overcast clouds
339,Gat,IL,31.61,34.7642,86.4,100,9,7.29,clear sky
340,Voyvozh,RU,62.892,54.9635,64.49,63,55,3.42,broken clouds
341,Qarqin,AF,37.4185,66.0436,89.06,22,7,10.78,clear sky
342,Terrell,US,32.736,-96.2753,97.92,45,0,11.5,clear sky
343,Dongsheng,CN,39.8161,109.9776,76.82,48,62,14.99,broken clouds
344,Bossangoa,CF,6.4926,17.4552,72.77,93,97,4.68,moderate rain
345,Huarmey,PE,-10.0681,-78.1522,67.1,73,57,10.36,broken clouds
